camarapk,nome,UFNasc,UFAtuacao,codinomes,partidos,profissoes,cargos,legislaturas,foto,veja,politicosorg,wiki,curriculo,votocunha,urls,outros
189200,Domingos Sávio Campos Resende,MG,,Domingos Sávio,PSDB,Médico Veterinário,,54.55,,,,,,,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=189200&tipo=0,
189201,Eduardo Brandão de Azeredo,MG,MG,Eduardo Azeredo,PSDB,Engenheiro Mecânico e Analista de Sistemas,,54,,,http://www.politicos.org.br/eduardo-brandao-de-azeredo,pt.wikipedia.org/wiki/Eduardo_Azeredo,,,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=189201&tipo=0,
189202,Eros Ferreira Biondini,MG,,Eros Biondini,"PHS,PROS",Músico e Médico Veterinário,,54.55,,,,,,,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=189202&tipo=0,
189203,João Carlos Siqueira,MG,,Padre João,PT,Sacerdote Católico,,54.55,,,,,,,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=189203&tipo=0,
189204,Rodrigo Moreira Ladeira Grilo,MG,,Dr. Grilo,"PSL,SD",Advogado,,54,,,,,,,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=189204&tipo=0,
189205,Weliton Fernandes Prado,MG,,Weliton Prado,"PT,PMB",Repórter Fotográfico,,54.55,,,,,,,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=189205&tipo=0,
189206,Arnaldo Jordy Figueiredo,PA,,Arnaldo Jordy,PCB,Político,,54.55,,,,,,,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=189206&tipo=0,
189207,Esmerino Neri Batista Filho,PA,,Miriquinho Batista,PT,Professor de Ensino Médio,,54,,,,,,,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=189207&tipo=0,
189208,José Wilson Santiago Filho,PB,,Wilson Filho,"PTB,PMDB",,,54.55,,,,,,,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=189208&tipo=0,
189209,Marllos Rossano Ribeiro Gonçalves de Sampaio,PI,,Marllos Sampaio,PMDB,Delegado de Polícia,,54,,,,,,,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=189209&tipo=0,
189210,Maria Aparecida Borghetti,SC,,Cida Borghetti,"PP,PROS",Empresária,,54,,,,,,,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=189210&tipo=0,
189211,Anthony William Garotinho Matheus de Oliveira,RJ,,Anthony Garotinho,"PT,PR",Radialista,,54,,,,,,,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=189211&tipo=0,
189212,Marcelo Viviani Gonçalves,RJ,,Marcelo Matos,"PR,PHS",Empresário,,54.55,,,,,,Intenscionalmente faltou na votação da cassação de Eduardo Cunha,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=189212&tipo=0,
189213,Stepan Nercessian,GO,,Stepan Nercessian,PCB,Ator,,54,,,,,,,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=189213&tipo=0,
189214,Walney da Rocha Carvalho,RJ,,Walney Rocha,PEN,Servidor Público Estadual,,54.55,,,,,,,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=189214&tipo=0,
189215,Carlos Magno Ramos,MG,,Carlos Magno,"DEM,PTB,PP",Técnico em Agropecuária,,54,,,,,,,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=189215&tipo=0,
189216,Johnathan Pereira de Jesus,RR,,Jhonatan De Jesus,PRB,Médico e Empresário,,54.55,,,,,,,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=189216&tipo=0,
189217,Elvino José Bohn Gass,RS,,Bohn Gass,PT,Agricultor Familiar e Professor de História,,54.55,,,,,,,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=189217&tipo=0,
189219,Francisco Everardo Oliveira Silva,CE,,Tiririca,PR,Ator,,54.55,,,,,,,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=189219&tipo=0,
189220,Mara Cristina Gabrilli,SP,,Mara Gabrilli,PSDB,Publicitária e Psicóloga,,54.55,,,,,,,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=189220&tipo=0,
189593,Wadih Nemer Damous Filho,RJ,,Wadih Damous,PT,,,55,,,,,"Arquivo 7, p. 4",,http://www2.camara.leg.br/deputados/pesquisa/layouts_deputados_biografia?pk=189593,
190149,Fabricio José Satiro de Oliveira,PR,,,,,,,,,,,"Arquivo 7, p. 4",,http://www2.camara.leg.br/deputados/pesquisa/layouts_deputados_biografia?pk=190149,
191684,Rosangela Aparecida da Silva Barros,SP,,,,,,,,,,,"Arquivo 7, p. 4",,http://www2.camara.leg.br/deputados/pesquisa/layouts_deputados_biografia?pk=191684,
191923,Flávio Rodrigues Nogueira,CE,,,,,,,,,,,"Arquivo 7, p. 4",,http://www2.camara.leg.br/deputados/pesquisa/layouts_deputados_biografia?pk=191923,
191945,José Augusto Nalin,ES,,,,,,,,,,,"Arquivo 7, p. 4",,http://www2.camara.leg.br/deputados/pesquisa/layouts_deputados_biografia?pk=191945,
192120,Angela Albino,SC,,Angela Albino,PCdoB,,,55,,,,,,,http://www2.camara.leg.br/deputados/pesquisa/layouts_deputados_biografia?pk=192120,
192580,José Augusto Maia,PE,,José Augusto Maia,"PMN,PROS",,,54,,,,,,,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=192580&tipo=0,
192581,Rogério Carvalho Santos,SE,,Rogério Carvalho,PT,Médico,,54,,,,,,,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=192581&tipo=0,
192662,Cristiano José Rodrigues de Souza,RJ,,Cristiano,PTdoB,Técnico em Contabilidade,,54,,,,,,,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=192662&tipo=0,
192745,João Batista Freire Viegas,PB,,Viegas,PSDB,Superior,,53,,,,,,,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=192745&tipo=0,
192758,João Batista Dos Santos,,,João Batista,,,,53,,,,,,,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=192758&tipo=0,
192759,Vicente Paulo de Oliveira Selistre,RS,,Vicente Selistre,PSB,Advogado e Industriário Sapateiro,,53.54,,,,,,,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=192759&tipo=0,
192760,Carlos Alberto Pereira,MG,,Carlos Alberto,"PP,PFL,PDT",Advogado,,53,,,,,,,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=192760&tipo=0,
192773,Raimundo de Sá Urtiga Filho,PI,,R. Sá Filho,,Advogado e Empresário,,53,,,,,,,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=192773&tipo=0,
192780,Flávio Luís Moreira Antunes,RJ,,Flavio Antunes,"PPS,PSDB",Bacharel em Direito e Empresário,,53,,,,,,,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=192780&tipo=0,
192784,José Roberto Corrêa do Nascimento,ES,,José Roberto Dudé,PT,"Comerciário, Operador de Produção Industrial e Orientador Técnico Mecânico",,53,,,,,,,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=192784&tipo=0,
192785,Andre Franco Montoro Filho,SP,,André Montoro,"MDB,PMDB,PSDB",Superior,,53,,,,,,,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=192785&tipo=0,
192812,Daniel Paulo Fontana,RS,,Daniel Fontana,PT,Advogado,,53,,,,,,,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=192812&tipo=0,
192813,Antonio Carlos de Morais,MG,,Antonio Carlos,,Superior Incompleto,,53,,,,,,,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=192813&tipo=0,
192816,Itamar de Paiva Rocha,PB,,Itamar Rocha,PMDB,"Técnico Agrícola, Mestre Agrícola e Engenheiro de Pesca",,53,,,,,,,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=192816&tipo=0,
192856,Márcio Almeida Passos,MG,,Marcio Passos,"PMDB,PDT,PR",Superior Incompleto,,53,,,,,,,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=192856&tipo=0,
192875,Gisela Romariz Sequeira,PA,,Gisela Sequeira,"PSDB,PR",Professora e Administradora,,53,,,,,,,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=192875&tipo=0,
192895,Francisco Ferreira Freitas Neto,PA,,Chico Neto,"PDS,PMDB,PSDB",Engenheiro Agrônomo,,53,,,,,,,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=192895&tipo=0,
