"id","nome","UF","codinomes","partidos","profissoes","legislaturas","urls"
"98700","Simao Sessim","RJ","Simão Sessim","UDN,PPR,PPB,PPB,PP","Advogado e Professor","52, 53, 54, 55","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=98700&tipo=0"
"108125","Henrique Afonso Soares Lima","AC","Henrique Afonso","PT,PV","Professor","52, 53, 54","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=108125&tipo=0"
"100638","Joel de Hollanda Cordeiro","Arcoverde, PE","JOEL DE HOLLANDA - PFL/PE","PFL, 1983-.","Economista e Professor Universitário","52","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=100638&tipo=0"
"97847","Lael Vieira Varella","MG","Lael Varella","DEM,PFL","Empresário","52, 53, 54","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=97847&tipo=0"
"98669","Maria Zila Frota Bezerra de Oliveira","Rio de Janeiro, RJ","ZILA BEZERRA - PTB/AC","MDB, 1973-1979; PMDB, 1980-1996; PFL, 1996-2001; PTB, 2001-.","Servidora Pública e Professora","","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=98669&tipo=0"
"108134","Hidekazu Takayama","PR","Takayama","PAN","Professor, Empresário e Ministro Evangélico","52, 53, 54, 55","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=108134&tipo=0"
"96997","Átila Sidney Lins Albuquerque","AM","Átila Lins","PSD","Economista, Servidor Público e Bacharel em Direito","52, 53, 54, 55","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=96997&tipo=0"
"162079","Flaviano Flávio Baptista de Melo","AC","Flaviano Melo","MDB,PMDB","Engenheiro Civil","53, 54, 55","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=162079&tipo=0"
"96992","Fernando Lopes de Almeida","RJ","Fernando Lopes","PSB,PDT,PMDB","Economista e Professor Universitário","52, 53, 54","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=96992&tipo=0"
"97841","Jovair de Oliveira Arantes","GO","Jovair Arantes","PTB,PMDB,PSDB","Cirurgião-Dentista","52, 53, 54, 55","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=97841&tipo=0"
"107284","Carlos Humberto Mannato","ES","Carlos Manato","SD","Médico","52, 53, 54, 55","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=107284&tipo=0"
"178899","Marcio Campos Monteiro","RJ","","","","","http://www2.camara.leg.br/deputados/pesquisa/layouts_deputados_biografia?pk=178899"
"178897","Rodrigo Otavio Soares Pacheco","RO","Rodrigo Pacheco","PMDB","Advogado(a)","55","http://www2.camara.leg.br/deputados/pesquisa/layouts_deputados_biografia?pk=178897"
"178898","Sergio Lucio de Almeida","MG","Tenente Lúcio","PSB","","55","http://www2.camara.leg.br/deputados/pesquisa/layouts_deputados_biografia?pk=178898"
"178895","Misael Artur Ferreira Varella","MG","Misael Varella","DEM","Empresário","55","http://www2.camara.leg.br/deputados/pesquisa/layouts_deputados_biografia?pk=178895"
"178896","Newton Cardoso Junior","MG","Newton Cardoso Jr","PTB,PMDB,PSC,PP,PHS,PEN","","55","http://www2.camara.leg.br/deputados/pesquisa/layouts_deputados_biografia?pk=178896"
"178893","Edson Moreira da Silva","SP","Delegado Edson Moreira","PTN,PR","Advogado(a),delegado de Polícia Civil,policial Militar,professor de Direito","55","http://www2.camara.leg.br/deputados/pesquisa/layouts_deputados_biografia?pk=178893"
"178894","Laudivio Alvarenga Carvalho","MG","Laudivio Carvalho","SD","Jornalista","55","http://www2.camara.leg.br/deputados/pesquisa/layouts_deputados_biografia?pk=178894"
"97209","Eduardo Jorge Martins Alves Sobrinho","Salvador, BA","EDUARDO JORGE - PT/SP","PT, 1980-.","Médico","","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=97209&tipo=0"
"100580","Tarcísio João Zimmermann","Santo Cristo, RS","TARCÍSIO ZIMMERMANN - PT/RS","PT, 1982-.","Sociólogo","52, 53,","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=100580&tipo=0"
"98048","Michel Miguel Elias Temer Lulia","Tietê, SP","MICHEL TEMER - PMDB/SP","PMDB, 1981-.","Advogado e Professor","52, 53,","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=98048&tipo=0"
"189069","Lauriete Rodrigues Pinto","ES","Lauriete","PSC","Empresária","54","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=189069&tipo=0"
"189068","Jorge Silva","ES","Dr. Jorge Silva","PDC,PT,PP,PROS,PHS","Médico","54, 55","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=189068&tipo=0"
"99374","Laudnir Lino Rossi","Astorga, PR","LINO ROSSI - PP/MT","PDT, 1994-1995; PSDB, 1995-2004; PSB, 2004; PMDB, 2004-2005; PP, 2005-.","Radialista e Apresentador de Televisão","52","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=99374&tipo=0"
"189076","José Alberto Oliveira Veloso Filho","MA","Alberto Filho","PDT,PMDB","Bacharel em Direito","54, 55","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=189076&tipo=0"
"189075","Hélio Batista Dos Santos","MG","Hélio Santos","PSD","Agropecuarista","54","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=189075&tipo=0"
