camaraPk	senadoId	nome	codinomes	uf	UFNasc	partidoAtual	outrosPartidos	profissoes	cargos	legislaturas	excelenciasorg	veja	politicosorg	wiki	curriculo	foto	urlCamara	outros
99343		Synval Sebastião Duarte Guazzelli	Synval Guazzelli		RS		UDN,PMDB,PP,ARENA	Advogado								http://www.camara.gov.br/internet/deputado/bandep/73488.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=99343&tipo=0	
100926		Narciso Mendes de Assis	Narciso Mendes		RN		ARENA,PDS,PFL,PPB,PP	Industrial, Engenheiro Civil e Comerciante		52		http://veja.abril.com.br/infograficos/rede-escandalos/perfil/narciso-mendes.shtml?scrollto=conteudo-rede				http://www.camara.gov.br/internet/deputado/bandep/73499.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=100926&tipo=0	
97725		José de Castro Coimbra	José Coimbra		MS		PTB,ARENA,MDB,PMDB,PFL,PTB	Médico								http://www.camara.gov.br/internet/deputado/bandep/73538.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=97725&tipo=0	
97769		José Masci de Abreu	José De Abreu		SP		MDB,PTB,PSDB,PTN	Industrial								http://www.camara.gov.br/internet/deputado/bandep/73539.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=97769&tipo=0	
101620		José Aristodemo Pinotti	Dr. Pinotti		SP		PMDB,PSB,PV,PMDB,PFL,DEM	Médico		52,53						http://www.camara.gov.br/internet/deputado/bandep/73542.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=101620&tipo=0	
101763		Luiz Carlos Dos Santos	Luiz Carlos Santos		MG		PDC,MDB,PMDB,PFL	Advogado e Administrador de Empresas		52						http://www.camara.gov.br/internet/deputado/bandep/73546.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=101763&tipo=0	
97945		Jorge Maluly Netto	Maluly Netto		SP		PSD,MDB,ARENA,PDS,PFL	Advogado, Médico e Empresário								http://www.camara.gov.br/internet/deputado/bandep/73547.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=97945&tipo=0	
101874		Mauricio Nagib Najar	Mauricio Najar		SP		PDC,ARENA,PDS,PFL	Advogado								http://www.camara.gov.br/internet/deputado/bandep/73551.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=101874&tipo=0	
98208		Paulo César Marques de Velasco	De Velasco		MG		PRN,PST,PSD,PRONA,PST,PST,PSL	Advogado, Radialista, Empresário, Relações Públicas e Pastor Evangélico								http://www.camara.gov.br/internet/deputado/bandep/73554.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=98208&tipo=0	
98327		Ricardo Nagib Izar	Ricardo Izar		SP		PL,ARENA,PDS,PFL,PL,PPR,PPB,PMDB,PSDB,PTB	Advogado		52,53						http://www.camara.gov.br/internet/deputado/bandep/73557.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=98327&tipo=0	
102233		José Gualberto Tuga Martins Angerami	Tuga Angerami		SP		PT,PMDB,PSB,PSDB	Professor Universitário e Psicólogo								http://www.camara.gov.br/internet/deputado/bandep/73562.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=102233&tipo=0	
102423		Vicente Fernandes Cascione	Vicente Cascione		SP		PDS,PL,PTB,PSB,PTB	Advogado e Professor Universitário		52						http://www.camara.gov.br/internet/deputado/bandep/73566.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=102423&tipo=0	
